,,140876
others,375
whose,374
finally,373
filled,372
finished,372
floor,372
\,369
lie,368
please,368
trees,368
wide,368
f,367
large,367
back.,365
body,364
moved,364
decided,363
man.,363
quickly,363
question,362
sit,362
train,362
cal,361
shook,361
beyond,360
office,360
send,360
sun,360
fair,359
minute,358
closed,356
martin,355
night.,355
dress,354
garden,353
walk,353
west,351
mine,350
ground,349
several,349
goin,348
top,347
do.,346
donaghue,346
y,346
slipped,345
trouble,345
/,344
jack,344
carried,343
joe,343
nancy,343
_,342
company,342
drove,342
breath,340
busy,340
lived,340
work.,340
worked,340
round,339
whether,339
clothes,337
one.,337
lifted,336
start,336
save,335
bright,334
fear,334
hand.,334
head.,334
knows,334
led,334
sleep,334
towards,334
ones,333
either,332
glance,332
sarah,332
speak,332
leaving,331
true,331
forward,330
life.,330
running,330
sorry,330
telling,330
today,330
wild,328
six,327
wonderful,325
lovely,324
play,324
someone,324
easy,323
pulled,323
line,322
needed,322
sense,322
soul,322
weeks,322
worth,322
became,320
different,320
outside,319
fingers,318
heriot,318
picture,318
probably,318
tone,318
war,318
bob,317
steve,317
watch,316
wondered,315
m,314
silence,314
months,313
reason,313
longer,312
note,312
tonight,312
wagon,312
%,311
except,310
fall,310
fresh,310
hill,310
working,310
means,309
dog,308
nearly,308
gate,307
point,307
some,307
tears,307
laugh,306
forget,305
waited,305
inside,304
are,303
certain,303
hurried,303
interest,303
none,302
whispered,302
have,301
dead,300
carefully,299
lucy,299
thank,299
right.,297
talking,297
hurt,296
possible,296
beginning,295
gold,295
danny,294
milk,294
tiny,294
..,293
lad,292
makes,292
annie,291
case,291
street,290
hardly,289
indeed,289
write,289
field,288
holding,288
quietly,288
appeared,287
earth,287
neighbors,287
free,286
return,286
certainly,285
stepped,285
ben,284
buddy,283
ingrid,283
spirit,283
state,282
looks,281
picked,281
foot,280
ruth,280
although,279
broken,279
learned,279
thousand,279
stone,278
|,278
mother.,277
become,276
porch,276
ride,276
path,275
ahead,274
color,273
neither,273
tomorrow,273
travis,273
bird,272
order,271
touch,271
wants,271
rich,270
sick,270
barn,269
piece,269
explained,268
horses,268
settled,268
exactly,267
sunday,267
will,267
died,266
drive,266
showed,266
flowers,265
forth,264
remembered,264
covered,263
replied,263
change,262
tall,262
awful,261
morning.,261
thoughts,261
growing,260
more.,260
rain,260
turning,260
anyone,259
laughing,259
liked,259
neighbor,259
threw,259
eye,258
shut,258
us.,257
book,256
born,256
church,256
eggs,256
person,256
billy,255
henry,255
fence,254
food,254
letters,254
swept,254
beauty,253
following,253
himself.,253
steps,253
giving,252
month,252
seat,252
books,251
entered,251
george,251
step,251
herself.,250
human,250
learn,250
martha,250
move,249
surely,249
talked,248
voice.,248
wrote,248
before.,247
deal,247
hung,247
valley,247
coat,246
glanced,246
older,246
goes,244
pink,244
seeing,244
besides,243
boat,243
death,243
exclaimed,243
helped,243
whatever,243
bridhe,242
paid,242
river,242
safe,242
joy,241
to.,241
yellow,241
expect,240
mouth,240
allen,239
before,239
grown,239
keigley,239
begin,238
fast,238
promise,238
raised,238
silent,238
breakfast,237
carry,237
gathered,237
grow,237
news,237
softly,237
girl.,236
paused,236
r,236
snow,236
had,235
thin,235
trip,234
wall,234
windows,234
dream,233
leaned,233
things.,233
bank,232
dr.,232
so.,232
break,231
smiling,231
store,231
wrong,231
be,230
bought,230
forgotten,230
party,230
place.,230
over.,229
proud,229
spent,229
stared,229
world.,229
somehow,228
gently,227
o'clock,227
sharp,227
while,227
nobody,226
noticed,226
truth,226
de,225
putting,225
0,224
common,224
git,224
hills,224
lives,224
roger,224
stranger,224
asked.,223
bill,223
building,223
edge,223
lord,223
bear,222
general,222
shining,222
twenty,222
visit,222
shoulders,221
struck,221
cheeks,220
heart.,220
plenty,220
promised,220
simply,220
keeping,219
hotel,218
present,218
village,218
years.,218
music,217
pleasant,217
somewhere,217
ways,217
written,217
comfort,216
fields,216
sell,216
spite,216
cry,215
only,215
was.,215
york,215
gay,214
go.,214
instant,214
shot,214
somebody,214
teacher,214
thru,214
trail,214
worry,214
corn,213
douglas,213
fight,213
happen,212
surprise,212
changed,211
empty,211
once,211
strength,211
ah,210
silver,210
daddy,209
gets,209
secret,209
sky,209
spread,209
dorothy,208
down.,208
fer,207
fool,207
group,207
jimmy,207
manner,207
queer,207
a.,206
papers,206
plans,206
stock,206
together.,206
alone.,205
asking,205
dry,205
singing,205
yard,205
built,204
farm.,204
lose,204
touched,204
burke,203
louis,203
mind.,203
wedding,203
bread,202
coffee,202
gone.,202
hands.,202
plain,202
simple,202
dishes,201
willing,201
american,200
bet,200
feed,200
meal,200
wear,200
bed.,199
come.,199
north,199
price,199
james,198
jeff,198
pick,198
