filename,tokencount,nercount,names,freq
8d12cf0a053f61fa0450c09ef1402bfd.txt,4166,89,"['Caryl', 'Dorothy', 'Meredith', 'Kenneth', 'Merry', 'Roy', 'Tom', 'Lonesomeville', 'Ken Carieton', 'America', 'American', 'Bayard', 'Carieton', 'Caryl Carieton', 'Caryls', 'Chevalier', 'Chicago', 'Cohoes', 'Dark', 'Dorothy Livingstone', 'Dot Livingstone', 'Dottie', 'Famous', 'Fay Miller', 'Httlo Dorothy', 'Ken', 'Leroy', 'Mary Castle Allis De Cou', 'New', 'PIONEER', 'Parmer', 'Robert Burns', 'Roy Eavesdropper', 'SOCIAL', 'Short', 'Sir Walter Scott', 'Terrace Park Grammar School', 'Tom Wheeler', 'United States Senate', 'VALOR', 'Vassar College', 'Written']","[14, 12, 7, 5, 5, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8744c791b290a173ef5fe3850c3ad547.txt,1287,19,"['Andy Bliss', 'Tim', 'Alice', 'Altie', 'Andy', 'ComiNraD', 'Friendship', 'Friendship Guilt', 'Friendship Quilt', 'Irish', 'Tim Doane', 'Tim Doanewaited', 'Timothy', 'Tom', 'thoughtTim', 'toO']","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
57c39ae6aa8b7df90b16664289e4c593.txt,1938,29,"['Elsie', 'Charley', 'GUman', 'Grandma', 'Grant', 'Indian', 'Jim', 'John', 'Lewy', 'Louet Raymer', 'Miss Denton', 'Not', 'Susan', 'Think', 'William', 'hilosophizedJ']","[13, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
568a2b6a41bf9092e0dd7f8de88f5936.txt,4389,70,"['Pat', 'Truscott', 'Donovan', 'Patty', 'Pat Donovan', 'Dan', 'Shannon', 'Tom', 'Oak Lodge', 'Tim', 'Trent', 'Alta Booth Dunn', 'Built', 'CHE', 'Christmas', 'Deeds', 'Devil', 'Donovans', 'GATE Part', 'Irish', 'Keepsakes', 'Mississippi Valley', 'Oak', 'Patty Quarrels', 'RUTH', 'Shannon County', 'Shannon Valley', 'Siilllt Trent', 'St. Louis', 'Things', 'Tom Truscott', 'Trent Truscott', 'Truscotts', 'University']","[10, 8, 5, 5, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0aa538a298829f14ed138e972648d7a6.txt,584,7,"['Bridhe', 'Bridhe Donnoghue', 'Continued', 'Doctor', 'Franklin', 'Mary Ellen']","[2, 1, 1, 1, 1, 1]"
114de9a2ca92c8fdbb7d0e7cc9661123.txt,1887,62,"['Scot', 'Patty', 'Dorothy', 'Gerald', 'Princess', 'Angora', 'Florida', 'Patience Rogers', 'Scot Fielding', 'Beaconswold', 'Cloverside', 'Dad', 'Darwin', 'Dolly', 'Dorothy Cameron', 'Gerald Peyton', 'Jerry', 'Mississippi', 'Scott']","[15, 13, 6, 5, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
e47b755864e7071db3c1be7857432b86.txt,2119,46,"['Danny', 'Tad', 'Taddy', 'Bobbie Campbell', 'Danny Herron', 'Ballyshannon', 'Bobby Campbell', 'Bolivar', 'COKT1SUED', 'CONTINUED', 'DANNY', 'Edensville', 'Herron', 'Irish', 'Lafayette', 'Life', 'Mason', 'South America', 'Thomas', 'Winter']","[13, 11, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
418c24e8cf7a883da194f7da817b0af2.txt,3942,34,"['Colonel', 'Lady', 'Nesterville', 'Cabin', 'Irish', 'Lord', 'Southern', 'American', 'Doctor', 'Eastbut', 'Illinois', 'Judy', 'Lassie', 'Optimist', 'Rich', 'Russian', 'Uncle Sam', 'Wildwinds']","[6, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
c6fb6950897dfde9d429708cbe3a5d8a.txt,2428,25,"['Jeannette', 'CONTINUED', 'Cheeks', 'FARMER', 'Gertrude', 'Gun', 'Long', 'Margaret', 'PAOS', 'SINE CERA', 'Sheriff', 'Springfield', 'WIFE', 'Watch For This', 'yOung']","[10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
a79c2a139c3ded9fb856be8e9d3ad7bf.txt,2527,55,"['Darcy', 'Jimmie', 'Betty', 'Delia', 'Edgar', 'John Darcy', 'Betty Crage', 'Betty Cragg', 'Doctor Keen', 'Huntington', 'Jimmy', 'Kindness', 'Milk', 'Mis', 'Old Betty Cragg', 'Tittle Jimmie', 'sleepTfhere', 'y6u']","[26, 6, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
