filename,tokencount,nercount
183d208ba4f0f53fdb2c0656be548b1c.txt,2680,20
4ef9595230b3c391ada222527b439d06.txt,1379,44
1e6ae63c40595c544294c94bba03a450.txt,3956,75
a80cf386f7f7fa1e7125e1c4ba9419e7.txt,975,9
7db7c894ce7e3620d3632591fc52da68.txt,459,10
109b7249bc319d9fd7b02118736fdc5d.txt,2160,75
4bbc821a1ae95ae3b825524c4a491eae.txt,3421,97
4b9391388d8eb77a51282fe3a825fbea.txt,303,6
86c452ce94fde4b327f96b2a5ddb1da2.txt,1112,22
5879236fe1e4d5ea3df36bb039fd9cfa.txt,1379,42
1545d523189a8591368871bc4765668f.txt,1637,10
5ab366cd42185f53d2a01205894b70d0.txt,1129,22
3b0e91e170e1075980188c77ce06b51e.txt,540,14
20ea97e847d7ca8ee957c6eb59187351.txt,984,22
731a328e6c606fa9c2897c56648da94e.txt,1579,27
72b2f83baccb1a3fcbcbf630f972bcef.txt,1413,21
68179f27c0216f7c83fcc7dadb225595.txt,1353,3
00f268caf0d4cdd9caf0fcd275bf93d2.txt,1304,36
bae814a4b0713816865f2a5ed46ae448.txt,1725,23
6c0cc5e414df676037898952bc09ca5c.txt,849,9
586ae704cd82bb9e6b0bcd18ebc7ae49.txt,2930,89
a2bbafed2cad07d97bc858cffa32084d.txt,523,14
384732b55a2daf63a77ebc24749ac518.txt,683,1
917cf205d87fd1f1605bbf5af5746345.txt,1258,34
d723735404ffea05806bf53879deb02f.txt,2637,47
147ca5e62d1869d8245aa5b59e8567ae.txt,3659,83
a76f11ba8a9d7d24bd1b8bd82ac9c362.txt,1280,41
262858db44e392043ceaa501e61037f9.txt,861,10
14a653fda7beeb445133b96103ba346b.txt,2980,83
33342b4eabf4ab8bc304ca1b4b9cf6e0.txt,1287,15
67c95ce4df3c8fdf2a05c1648b9b10a8.txt,2438,89
55b40ccfd28756fd71759719bb763dc8.txt,3689,61
0099a5b9f9c8c9be91e4b9a01134f61f.txt,478,15
fbacf5f47c7ece185808e9e5a5d50bb8.txt,1432,36
49071cb444dc57fe97d6a209068b26d2.txt,1924,34
01031c1c7c573d6550bb06a938893a10.txt,745,31
0d87865e9b5c556cebb30d1b6de5f3ce.txt,836,27
9bf54edcbdeffa989c426a5b27ecdd1e.txt,1461,51
2c4e0e1e85a09510473e2dcf9b90b5f2.txt,3006,53
bd517232294f50961c8b57a5873ed257.txt,3016,61
31713c91d3054c2e8aeeec6b2c5347c8.txt,1275,8
95c7279da34bd08afba1a9488d18de44.txt,2422,54
1df47eba0da8a372ddaf57b0b0b7e9b2.txt,354,5
372eccf6722fce1603ef3b8285e3ad79.txt,3645,35
5a920ab36664b5ca63351696f3cd8476.txt,1557,33
4b98bec086f964559851d278691405d3.txt,1887,31
c5be73ef5eba4810d0d11fc45962e640.txt,1447,39
56a1142ee4b577c50f3481c8011e4d89.txt,1620,42
86b988f71216a3ddf26e451e8edb4d28.txt,2014,32
efd71d105c6c724c496b0213fc9fd0bf.txt,1294,28
ee634da58289529366c94ded0736f325.txt,873,12
466ae3feec66cb43be4fa342fd15a670.txt,1340,8
de2bdd2251c9524345f94004c5169f2d.txt,3415,110
3005743dde7513790f4102e958657253.txt,2138,60
6e8d9856adf2fb3457ab09aeb63c6b0e.txt,1602,18
5ab67cdf3cf8291a6b42f431f5b11bf1.txt,1977,47
f82715f162ef087bee6508a741343bd4.txt,536,9
a4ded81b4355ce651f3c2bbe2b1f44fb.txt,2826,46
4aba3e671fb316422c6bc31a167cf6cc.txt,832,38
a63259da03004816150d7d49f01299e6.txt,2120,42
4f354998ef93faabbca4e6c87b0dc6af.txt,2093,61
ea5195f935516d454709d95a3576b476.txt,1224,30
5f4dbe4bac7b22a21fdd2daab659da17.txt,3546,64
9a50c274ed968a4aad3457bc17575fc2.txt,246,12
8a3dd1c83f1be53b374acbafa4f1d787.txt,345,4
bbe16e749dd391fa454bfe690ae7f86f.txt,916,47
e9f6cc72ff019f35a489884968b5437b.txt,3739,65
bf37bd5f8e5f989d033ecf457e6291a3.txt,560,7
d42d4cafb8b40ce2c38ce0197cf97e11.txt,1233,27
b81a81abf83683c9675bd02321b40ec2.txt,1696,41
9b683ad50e0abdc446273dc59df82804.txt,3487,92
66d0bca191b4fd77f15d061ac8670541.txt,2796,86
a716d35ae590f96d2d6fc780dffa174e.txt,2375,31
3df1417c04c4962815d2b9488e5c7884.txt,1935,63
126e43c1bb22be25d0733d4235115c0a.txt,632,19
01c3f71aebc1151dce042fa0212ee5d7.txt,1306,20
484c4985e1233fad156eb2665db70d92.txt,1814,56
9a02b1fd74a332c0e39415b8dab13cba.txt,346,13
4523456a0615ec3b5475d0b5d74d24fe.txt,1521,44
1d53e57b7da4847f2dffa68d55feafde.txt,758,19
b43584c12d9ced08bed7a63b5521eb2d.txt,182,8
2a2a36a4e0106a756d79221c8d0b48e5.txt,1663,56
4862242232aae34dcde3eae0fadd4cff.txt,2449,48
0b06fd3d05e9344bb335cfde3629ef66.txt,684,18
99e2422fe9cfe96183cb8528551bd01a.txt,1065,26
4e6e8788063ff009ab25588d8805ac4a.txt,4481,138
a732a5c60d65f45a276e48c817ef61f7.txt,4890,103
2475b9063eb20a8bbeac0c9cb205fb98.txt,3816,85
a12688054051e227475bc0c6daab2d09.txt,1657,26
f6678223a2466d0a1786aebb86d39c77.txt,452,15
c2aba365a52655ae33e7f78ca7a44f7b.txt,1883,64
17f959c8077bbff79b40b59849537ac0.txt,2300,27
4bf03452f9fea6322003c4ae3736326e.txt,408,11
bfec53fbefdf707460eb5ddc6d72e2e1.txt,1932,63
ce9bfcfdac82004a753c692ec6c92aba.txt,4322,40
