name,freq
Bert,21
Brother Trueman,21
Buddy Jim,21
Colonel,21
Cracklin,21
Crosby,21
Doctor Tom,21
Donald Berry,21
Haddock Harbor,21
Heaven,21
Illinois,21
Johanna,21
Joshua,21
Merry Christmas,21
Mildred,21
Miss Lewis,21
Nell,21
Nest,21
Optimist,21
Patrolman,21
Preston,21
Son,21
Thomas,21
Titbit,21
Wardell,21
Aunt Lucy,20
Aunt Sally,20
Baby,20
Cherry Lane,20
Inn,20
John Gray,20
Julian,20
Kate,20
Letty,20
Life,20
Martha Plow,20
Miss Finnigan,20
Mr. Dana,20
Nettie,20
Phyllis,20
Plowboy,20
Roy,20
Tassel,20
Zotoff,20
Aunt Harriet,19
Brian Boru,19
Brooks,19
Bunch,19
Campbell,19
Christian,19
Coverly,19
Daddy Sam,19
Dudley,19
Eden,19
Harold,19
Henneberry,19
John Baker,19
John Gilbert,19
Little,19
Lone Star,19
Miss Brooke,19
Miss Dana,19
Misses Peters,19
Nip,19
Sara,19
Theodora,19
White,19
Will,19
Young Doctor,19
Anna Belle,18
Archie,18
Babs,18
Bishop,18
Border,18
Charlotte,18
College,18
Daisy,18
DeGroot,18
Duane,18
Evan,18
Gregory,18
Hope,18
James Turner,18
Japanese,18
Jennie,18
Jim Bannon,18
Jimmie,18
Lloyd Haley,18
London,18
Marquis,18
Mary Ellen,18
Millie,18
Nathan,18
Ollie Wade,18
Park,18
Patricia May,18
Rio Grande,18
Scotch,18
Stumpy,18
Sylvia Meridith,18
Tilly,18
Aleda,17
Benson,17
Betty Lou,17
CHE,17
Calista,17
Canadian,17
Carnley,17
Clayton,17
Doc,17
Donald Burgoyne,17
Geoffry,17
George Allander,17
Greek,17
Herbie,17
Jimsy,17
Johnson,17
Jonathan,17
Jud,17
Little Cal,17
Loche,17
Margit,17
Miss Martha,17
Mr. Graham,17
Norwegian,17
Parker,17
Pendleton,17
SYLVIA,17
Sallle,17
School,17
Thomas Stanley,17
Tillie,17
University,17
Abdiel,16
Amanda,16
Auntie,16
Bangor,16
Bible,16
Black,16
Bud,16
Clinton,16
Emeline,16
Esther,16
George Banger,16
Great Chief,16
Haddock,16
Hal Gardner,16
Ham,16
Hetty Handy,16
Hollybelle,16
Horace Ashgrove,16
Jimmy Hendricks,16
Johnnie,16
Lafayette,16
Lollie,16
Miss Meridith,16
Old Man Roberts,16
Pennreddy,16
Queen,16
Rob,16
Romo,16
Seahaven,16
Sis,16
Snow,16
Uncle Stephen,16
Aleno,15
Arabian,15
Aunt Abbie Duck,15
Aunt Julia,15
Aunt Martha,15
Basil,15
Beverly,15
Carrington,15
Cherry,15
Chrissy,15
Coleman,15
Daphne,15
Eben,15
Englishman,15
Felix,15
Fifth Avenue,15
Foomi,15
Gordon,15
Johny,15
Josiah,15
Katie,15
Laban,15
Laura Kennedy,15
Leone,15
Locust Grove,15
Luella,15
Marty,15
Miss Rosalie,15
Miss Sally,15
Robin,15
Rose Ella,15
Squire,15
Svend,15
Tip,15
Titus,15
Uncle Ed,15
Alberta,14
Allen Trenton,14
Ark,14
Ashley,14
Aunt Penelope,14
Bauer,14
Bernard,14
Children,14
China,14
Columbia,14
Comfort,14
Danny Herron,14
Dawson,14
Dottie,14
Drury,14
Evelyn,14
Gunhild,14
Iowa,14
Jed,14
John Vernon,14
Jotham,14
Lauriat,14
Loren Rhodes,14
Mazie,14
McElroy,14
Minnesota,14
Miss Edith,14
Miss Plow,14
Miss Thrall,14
Mr. Ainslie,14
Mr. Custer,14
Mystery,14
Nan,14
Norah Finnigan,14
Pavo,14
Peter Belknap,14
Rosevale,14
Sink Hole,14
Sir,14
Southern,14
Sparta,14
Stanley,14
Uncle May,14
Yen,14
Barrys,13
Bascom,13
Beth,13
Brian Donaghue,13
Canada,13
Clem,13
County,13
Davis,13
Deedee,13
Elbert,13
Fair Shirosei,13
Flemmings,13
GERTRUDE,13
Grandmother,13
Hannah,13
Inari,13
Janet,13
Jerry Hanlon,13
Job,13
Ladies,13
Lillie,13
Little Jim,13
Maxwell,13
Miss Prout,13
NORA,13
Olivvy,13
Orange Grove,13
Papa Georges,13
Pat Donovan,13
Priscilla,13
Ramona,13
Robinson,13
Ruthie,13
Sara Goslin,13
Sarah Wellington,13
Smythe,13
Stuart,13
Tom Belknap,13
Tompson,13
Wilson,13
Allison,12
Artin,12
Atlantic,12
Belknap,12
CONTINUED ON,12
Carrie,12
Chinati,12
Cissy,12
Commissioner,12
Cricket,12
Dana,12
Deacon,12
Destiny,12
Doctor Hitchcock,12
Drew,12
Ellen Gove,12
Emporium,12
Enos,12
Fate,12
