,,140876
'',58793
``,39392
I,36802
's,20068
!,18549
?,15646
',13742
n't,13682
;,11592
The,9741
.,8154
She,7780
He,7689
would,7673
one,6612
It,6426
could,5848
little,5741
said,5498
But,5104
And,4719
You,4630
like,4541
'll,4250
old,4060
back,4024
:,3911
man,3902
know,3875
came,3637
time,3613
see,3556
get,3355
go,3275
come,3153
A,3045
good,2941
never,2878
'm,2868
eyes,2824
There,2739
two,2686
went,2672
day,2600
've,2585
'd,2583
made,2565
way,2546
going,2527
home,2513
They,2489
think,2470
must,2390
much,2375
make,2374
(,2323
it.,2306
Mrs.,2262
What,2260
long,2220
We,2213
girl,2197
thought,2188
young,2161
house,2155
),2130
Then,2125
away,2123
first,2123
got,2117
face,2109
might,2079
looked,2065
That,2062
take,1969
right,1968
If,1967
last,1951
Miss,1923
In,1919
mother,1918
tell,1914
&,1911
want,1886
work,1883
're,1852
her.,1845
put,1835
him.,1824
knew,1776
say,1765
even,1756
something,1747
Mr.,1739
always,1736
told,1728
upon,1704
things,1698
look,1692
woman,1663
night,1654
hand,1642
-,1637
us,1633
life,1624
...,1601
When,1584
turned,1555
new,1543
found,1540
took,1531
ever,1523
well,1495
place,1490
let,1486
still,1461
boy,1453
*,1437
room,1435
big,1434
enough,1427
father,1419
door,1413
saw,1412
¦,1392
great,1382
thing,1379
voice,1364
keep,1338
every,1331
No,1325
left,1325
asked,1324
years,1318
find,1317
Do,1304
Oh,1304
Well,1289
love,1278
seemed,1261
without,1258
Why,1256
next,1251
men,1246
children,1245
head,1243
around,1223
John,1212
morning,1209
Her,1207
As,1205
many,1200
stood,1192
another,1184
moment,1183
give,1175
ca,1172
^,1151
hands,1151
better,1150
help,1139
felt,1134
mind,1127
gone,1111
heart,1106
His,1080
How,1073
This,1070
course,1068
anything,1063
heard,1062
Aunt,1060
world,1059
along,1058
So,1050
For,1042
you.,1030
white,1025
may,1022
three,1022
nothing,1021
me.,1015
money,1012
across,1011
called,1011
Now,1009
gave,1005
farm,1002
coming,1001
brought,995
though,995
days,989
sure,978
them.,975
sat,960
•,947
looking,946
almost,945
At,941
Mary,941
done,928
set,924
Yes,913
began,906
Tom,905
need,895
wanted,893
hard,886
people,885
quite,882
Mother,868
To,865
small,864
Continued,860
best,860
side,860
name,855
1,839
far,835
shall,832
car,826
half,825
Jim,823
yet,822
My,810
dear,810
gt,807
Sally,806
held,798
care,795
school,785
pretty,781
seen,781
Of,779
call,778
really,778
family,769
water,768
light,766
toward,762
year,760
since,759
soon,754
town,754
Not,751
mean,741
ready,729
suddenly,728
Ma,723
